Post Title,Post URL,Download URL,Date Posted
Erigga – PTSD ft. Odumodublvck Mp3,https://justnaija.com/music-download/erigga-ptsd-ft-odumodublvck/,https://justnaija.com/music/download/6887/,"Sep 04, 2022"
Erigga – A girl called grace ft. Jay Teazer Mp3,https://justnaija.com/music-download/erigga-a-girl-called-grace-ft-jay-teazer/,https://justnaija.com/music/download/6886/,"Sep 04, 2022"
Erigga – Cotton candy ft. Mephyz Mp3,https://justnaija.com/music-download/erigga-cotton-candy-ft-mephyz/,https://justnaija.com/music/download/6885/,"Sep 04, 2022"
Erigga – Lit ft. PsychoYP Mp3,https://justnaija.com/music-download/erigga-lit-ft-psychoyp/,https://justnaija.com/music/download/6884/,"Sep 04, 2022"
Erigga – Perfect Timing ft. Jeriq Mp3,https://justnaija.com/music-download/erigga-perfect-timing-ft-jeriq/,https://justnaija.com/music/download/6883/,"Sep 04, 2022"
Erigga – Family Ties ft. Oga Network & Igosave Erigga Mp3,https://justnaija.com/music-download/erigga-family-ties-ft-oga-network-igosave-erigga/,https://justnaija.com/music/download/6882/,"Sep 04, 2022"
Erigga – Broke or rich ft. Jay Teazer Mp3,https://justnaija.com/music-download/erigga-broke-or-rich-ft-jay-teazer/,https://justnaija.com/music/download/6881/,"Sep 04, 2022"
Erigga – Vawulence Mp3,https://justnaija.com/music-download/erigga-vawulence/,https://justnaija.com/music/download/6880/,"Sep 04, 2022"
Erigga – How many gyal ft. YUANG Mp3,https://justnaija.com/music-download/erigga-how-many-gyal-ft-yuang/,https://justnaija.com/music/download/6879/,"Sep 04, 2022"
Erigga – L with V's Mp3,https://justnaija.com/music-download/erigga-l-with-vs/,https://justnaija.com/music/download/6878/,"Sep 04, 2022"
Erigga – Inshallah ft. EBII Mp3,https://justnaija.com/music-download/erigga-inshallah-ft-ebii/,https://justnaija.com/music/download/6877/,"Sep 04, 2022"
Skiibii – Kelele Mp3,https://justnaija.com/music-download/skiibii-kelele/,https://justnaija.com/music/download/6876/,"Sep 04, 2022"
Skiibii – Flex Mp3,https://justnaija.com/music-download/skiibii-flex/,https://justnaija.com/music/download/6875/,"Sep 04, 2022"
Skiibii – Pawon Mp3,https://justnaija.com/music-download/skiibii-pawon/,https://justnaija.com/music/download/6874/,"Sep 04, 2022"
FlexyBoy - Tonight Mp3,https://justnaija.com/music-download/flexyboy-tonight/,https://justnaija.com/music/download/6873/,"Sep 04, 2022"
Vector – Mama Maradona ft. Wande Coal Mp3,https://justnaija.com/music-download/vector-mama-maradona-ft-wande-coal/,https://justnaija.com/music/download/6872/,"Sep 04, 2022"
Dammy Krane – Eshe ft. PsychoYP Mp3,https://justnaija.com/music-download/dammy-krane-eshe-ft-psychoyp/,https://justnaija.com/music/download/6871/,"Sep 04, 2022"
Ayanfe – Temptation Mp3,https://justnaija.com/music-download/ayanfe-temptation/,https://justnaija.com/music/download/6870/,"Sep 04, 2022"
"Manny Norté – Worth My While ft. Stalk Ashley, Ayra Starr & Tiana Major9 Mp3",https://justnaija.com/music-download/manny-norte-worth-my-while-ft-stalk-ashley-ayra-starr-tiana-major9/,https://justnaija.com/music/download/6869/,"Sep 04, 2022"
Nonso Amadi – Eye To Eye Mp3,https://justnaija.com/music-download/nonso-amadi-eye-to-eye/,https://justnaija.com/music/download/6868/,"Sep 04, 2022"
Powpeezy – Peng Ting Mp3,https://justnaija.com/music-download/powpeezy-peng-ting/,https://justnaija.com/music/download/6867/,"Sep 04, 2022"
Netta – Playground Politica ft. Mr Eazi Mp3,https://justnaija.com/music-download/netta-playground-politica-ft-mr-eazi/,https://justnaija.com/music/download/6866/,"Sep 04, 2022"
Mohbad – Peace Mp3,https://justnaija.com/music-download/mohbad-peace/,https://justnaija.com/music/download/6865/,"Sep 04, 2022"
D’banj – Cover Me Mp3,https://justnaija.com/music-download/dbanj-cover-me/,https://justnaija.com/music/download/6864/,"Sep 04, 2022"
Waje – Na Me Be This Mp3,https://justnaija.com/music-download/waje-na-me-be-this/,https://justnaija.com/music/download/6863/,"Sep 04, 2022"
Waje – Imagine Mp3,https://justnaija.com/music-download/waje-imagine/,https://justnaija.com/music/download/6862/,"Sep 04, 2022"
Waje – Mercy Me Mp3,https://justnaija.com/music-download/waje-mercy-me/,https://justnaija.com/music/download/6861/,"Sep 04, 2022"
Waje – Stay Mp3,https://justnaija.com/music-download/waje-stay/,https://justnaija.com/music/download/6860/,"Sep 04, 2022"
